AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-01:35,2020/01/16-09:25,16:10,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/16-18:00,2020/01/16-09:25,8:35,1001.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-15:15,2020/01/16-09:35,5:40,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/16-12:05,2020/01/16-09:45,2:20,288.0,0
Azul,mcz,bsb,2020/01/17-15:40,2020/01/17-10:10,5:30,1707.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-11:55,2020/01/17-22:50,13:5,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-13:55,2020/01/17-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/17-20:30,2020/01/17-12:40,7:50,262.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-16:00,2020/01/17-13:35,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/17-15:55,2020/01/17-13:35,2:20,1369.0,0
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-01:35,2020/01/17-15:00,10:35,2011.0,1
LATAM Airlines Group,mcz,bsb,2020/01/18-02:05,2020/01/17-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-02:05,2020/01/17-15:55,10:10,2450.0,2
Azul,mcz,bsb,2020/01/18-00:40,2020/01/17-16:00,8:40,262.0,2
LATAM Airlines Group,mcz,bsb,2020/01/17-16:25,2020/01/17-04:20,12:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/18-02:05,2020/01/17-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/17-13:55,2020/01/17-06:00,7:55,672.0,1
LATAM Airlines Group,mcz,bsb,2020/01/17-18:00,2020/01/17-06:00,12:00,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/18-12:00,2020/01/17-18:00,18:00,2011.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/17-15:15,2020/01/17-06:05,9:10,2011.0,1
